comment,label
"['brim', 'amen', 'more']",non-sarc
"['brim', 'brim', 'fishing', 'rod', 'votes', 'votes', 'votes', 'brim', 'fishing']",sarc
"['thanks', 'resistant', 'front', 'brim', 'can', 'do', 'I', 'make', 'a', 'deposit', 'oh', 'thank', 'very', 'much', 'I', 'love', 'sister']",sarc
"['t', 'jack', 'capable', 'more', 'weight', 'even', 'more']",sarc
"['also', 'always', 'thought', 'there', 'was', 'a', 'good', 'feeling', 'as']",non-sarc
"['Malaysia', 'bribe', 'so', 'happy', 'raise', 'tax', 'is', 'useless']",sarc
"['write', 'it', 'up', 'right', 'off', 'brim', 'bowl', 'correctly', 'is']",sarc
"['Last', 'brim', 'raise', 'cost', 'increase', 'can', 'not', 'be', 'exhausted', 'brim', 'Malaysians', 'do', 'not', 'already', 'pay', 'taxes']",non-sarc
"['b', 'budget', 'national', 'debt', 'budget', 'does', 'not', 'quite', 'reach', 'target', 'b', 'lighten', 'national', 'debt', 'budget', 'head', 'brain', 'pm']",non-sarc
"['majority', 'people', 'can', 'thank', 'brim', 'Grandpa', 'said', 'jib', 'asked', 'villagers', 'have', 'no', 'brim', 'can', 'also', 'try', 'ask', 'city', 'life', 'can', 'be', 'properly', 'oil', 'all', 'need', 'think', 'kitchen', 'goods']",non-sarc
"['I', 'am', 'grateful', 'brim']",non-sarc
['puppet'],sarc
"['brim', 'all', 'more', 'so', 'hold', 'ahead', 'is', 'yet', 'more']",sarc
"['thank', 'god', 'is', 'determined', 'not', 'wrong', 'one']",sarc
"['b', 'much', 'more']",sarc
"['I', 'heard', 'disgust', 'brim', 'brim']",non-sarc
"['no', 'need', 'brim', 'as', 'long', 'as', 'people', 'do', 'not', 'afflict']",sarc
"['it', 'is', 'not', 'difficult', 'brim', 'grandfather', 't', 'go', 'eat', 'rising', 'gasoline']",sarc
"['time', 'tun', 'm', 'so', 'pm', 'not', 'brim', 'people', 'live', 'there', 'is', 'no', 'was', 'ok', 'only', 'people', 'angry', 'people', 'do', 'not', 'even', 'have', 'pay', 'it', 'all', 'it', 'brim']",non-sarc
"['I', 'vote', 'swear', 'I', 'will', 'not', 'vote', 'last', 'longer', 'I', 'pig', 'choice']",non-sarc
"['yay', 'brim', 'right', 'ringgit', 'climbed', 'up', 'also']",sarc
"['budget', 'did', 'not', 'hear', 'was', 'not', 'same', 'thing', 'as', 'once', 'he', 'did', 'not', 'scoop', 'more']",sarc
['turn'],sarc
"['thank', 'God', 'condemned', 'brim', 'can', 'try', 'is', 'a', 'little', 'shy', 'but', 'take', 'brim', 'curse', 'do', 'not', 'like', 'also', 'featured', 'national', 'very', 'time', 'later', 'election', 'vote', 'power', 'is', 'person']",sarc
"['right', 'up', 'brim', 'address', 'soaring', 'price', 'rise']",non-sarc
"['capital', 'is', 'lobbying', 'Mr', 'wants', 'people']",sarc
"['raise', 'prices', 'arbitrarily', 'remember', 'correctly', 'it', 'can', 'correct', 'all', 'payers', 'brim', 'go', 'm', 's']",non-sarc
"['keep', 'criminals']",non-sarc
"['chicken', 'brand', 'has']",sarc
"['Can', 'not', 'brim', 'appointment', 'was', 'not', 'why', 'prices', 'goods', 'down', 'oil', 'prices', 'fell', 'down', 'living', 'I', 'do', 'not', 'want', 'be', 'grateful', 'Malaysia', 'is', 'still', 'safe']",sarc
"['best', 'is', 'brim']",non-sarc
"['not', 'brim', 'goods', 'again', 'increased', 'after']",non-sarc
"['brim', 'brim', 'brim', 'debt', 'plus', 'pass', 'it', 'up', 'again', 'as', 'soon', 'as', 'price', 'goods', 'scramble', 'stand', 'up', 'again', 'as', 'soon', 'as', 'it', 'drop', 'again', 'subsidy', 'somehow', 'keeps', 'going', 'fishing', 'plan', 'only']",sarc
"['income', 'tax', 'is', 'more', 'husband', 'later', 'awful']",sarc
"['its', 'brim', 'fun', 'can', 'not', 'wait', 'wait', 'next', 'year']",non-sarc
"['write', 'off', 'brim', 'Apes', 'collar', 'working', 'people', 'pay']",non-sarc
"['all', 'I', 'can', 'jerk', 'off', 'brim', 'continues', 'unable', 'r']",sarc
"['le', 'disgusted', 'can', 'cover', 'mouth', 'can', 'not', 'be', 'responsible']",non-sarc
"['up', 'only', 'a', 'heartbeat', 'away', 'collect', 'millions', 'despotic', 'leaders', 'bald', 'useless', 'Malaysia']",sarc
"['is', 'new', 'kid', 'ride', 'a', 'ruckus', 'right', 'oil', 'gas', 'electricity', 'all', 'increased', 'price', 'story']",non-sarc
"['brim', 'hard', 'not', 'think', 'it', 'is', 'ok', 'cancel', 'any', 'run', 'out', 'money', 'much', 'too']",non-sarc
"['ge', 'pushes', 'pay', 'tax', 'all', 'toys']",sarc
"['no', 'need', 'brim', 'who', 'can', 'eat']",non-sarc
"['thank', 'brim', 'turned', 'up', 'in', 'line', 'cost', 'living', 'increases', 'right', 'up', 'soon', 'public', 'transport', 'will', 'also', 'increase', 'longer', 'rule', 'is', 'higher', 'brim', 'it']",sarc
"['More', 'countries', 'need', 'brim', 'was', 'no', 'need', 'us', 'want', 'pay', 'national', 'debt', 'restore', 'economy']",sarc
"['thank', 'God', 'he', 'took', 'berries', 'year', 'next', 'year', 'already', 'anyway']",non-sarc
"['yay', 'can', 'brim', 'again', 'thanks', 'jib', 'after', 'price', 'was', 'later', 'reason', 'more', 'people', 'have', 'bubble', 'money', 'through', 'debt', 'brim', 'why', 'many']",sarc
"['brim', 'is', 'no', 'need', 'not', 'all', 'be']",non-sarc
"['more', 'brim']",non-sarc
"['corruption', 'Malaysia']",non-sarc
"['brim', 'giving', 'unfair']",non-sarc
"['brim', 'confirm', 'more', 'oil', 'be', 'more', 'correct']",non-sarc
"['cause', 'country', 'debt', 'can', 'not', 'be', 'resolved']",non-sarc
"['pm', 'worst', 'in', 'history', 'country', 'does', 'not', 'have', 'its', 'own', 'character', 'so', 'pm', 'just', 'in', 'shock', 'saw', 'people', 'talking', 'but', 'was', 'disgusted']",non-sarc
"['out', 'all', 'people', 'in', 'fool', 'us', 'remember', 'in', 'days', 'pharaohs', 'see', 'very', 'temperament', 'a', 'pharaoh']",non-sarc
"['old', 'bankrupt', 'government', 'is', 'spending', 'a', 'lot', 'little', 'profit', 'but', 'CEO', 'stupid', 'tax', 'increase', 'was', 'not']",sarc
"['chat', 'talk', 'today', 'about', 'money', 'b', 'na', 'tell', 'time', 'span', 'budget', 'is', 'piss', 'away']",non-sarc
['useless'],non-sarc
"['Shopping', 'a', 'new', 'course', 'brim', 'represent', 'percentage', 'total', 'government', 'budget', 'next', 'year', 'can', 'be', 'expected', 'rise', 'again']",sarc
"['budget', 'who', 'do', 'not', 'want', 'feel', 'proud', 'up']",non-sarc
"['suffocating', 'name', 'budget']",non-sarc
"['not', 'out', 'pissing', 'who', 'know', 'country', 'financial', 'credit', 'debit']",non-sarc
"['provision', 'management', 'provisions', 'bill', 'hundred', 'twenty', 'bills', 'only']",sarc
['support'],non-sarc
"['accept', 'whatever', 'he', 'set', 'out', 'create', 'best']",non-sarc
"['happy', 'people', 'just', 'drain', 'money', 'willingly', 'butcher', 'he', 'only', 'wanted', 'money', 'people', 'want', 'be']",non-sarc
"['budget', 'balanced', 'step', 'forward', 'welfare', 'penal', 'sufferings', 'awful']",sarc
"['not', 'see', 'but', 'other', 'people', 'ask']",non-sarc
"['l', 'really', 'like', 'script', 'is', 'not', 'necessarily', 'only', 'beautiful']",sarc
"['head', 'harness', 'he', 'still', 'money', 'on', 'cronies', 'create', 'remember', 'can', 'buy', 'do', 'not', 'chat', 'sorts', 'wretched', 'government', 'does', 'not', 'monitor', 'rise', 'in', 'house', 'prices', 'in', 'order', 'maintain', 'pockets', 'go', 'off', 'it', 'is', 'not', 'a', 'budget', 'but', 'a', 'budget', 'cronies', 'themed', 'prosperous', 'life', 'cronies', 'henchmen', 'National', 'Coalition']",sarc
"['bad', 'lawyer', 'ingots', 'budget', 'there', 'will', 'hubcap', 'many', 'housing', 'projects', 'jam']",sarc
"['budgetary', 'useless', 'does', 'not', 'significantly', 'reduce', 'cost', 'living', 'scoop', 'but', 'other', 'taxes', 'are', 'not', 'in', 'touch', 'directly', 'be', 'removed', 'or', 'reduced', 'income', 'tax', 'rather', 'many', 'be', 'even', 'went', 'boarding', 'new', 'kind', 'lukewarm', 'only', 'country', 'less', 'people', 'also', 'become', 'victim', 'so', 'government', 'make', 'money', 'various', 'tax', 'quotation', 'civil', 'servants', 'can', 'be', 'sick', 'smile']",non-sarc
"['poverty', 'was']",non-sarc
"['b', 'budget']",sarc
"['Peace', 'is', 'very']",sarc
"['most', 'unpleasant', 'budget', 'budget', 'support', 'personal', 'political']",sarc
['pigs'],non-sarc
"['not', 'have', 'best']",non-sarc
"['wow', 'magical', 'outstanding', 'profits', 'again', 'already', 'know', 'ready', 'always', 'want', 'more', 'oil', 'drug', 'prices', 'rose', 'more', 'taxes', 'more']",sarc
"['misbegotten', 'pm']",non-sarc
"['father', 'made', 'only', 'shame', 'pm', 'pm', 'first', 'one', 'kind', 'maligned', 'tell', 'come', 'down', 'realized', 'he', 'was', 'not', 'ashamed', 'pm', 'Malaysia', 'is', 'worst', 'hated', 'by', 'people', 'Malaysia']",non-sarc
"['budget', 'fierce', 'people', 'owe']",sarc
"['ruined', 'people', 'lives', 'more', 'difficult']",non-sarc
['misbegotten'],non-sarc
"['sustainable', 'economic', 'languish', 'people', 'try']",sarc
"['all', 'make', 'good', 'budget']",sarc
"['Anal', 'budget', 'cattle']",non-sarc
"['le', 'tell', 'me', 'say', 'do', 'not', 'trust']",non-sarc
"['take', 'account', 'is', 'bowl']",non-sarc
"['before', 'budget', 'is', 'presented', 'purportedly', 'want', 'take', 'cost', 'living', 'increasing', 'priority', 'but', 'he', 'will', 'not', 'see', 'any', 'cost', 'increase', 'is', 'going', 'down', 'current', 'government', 'lower', 'cost', 'living']",sarc
"['not', 'year', 'before', 'last', 'Prepare', 'minister', 'all', 'life', 'is', 'not', 'long', 'last', 'dead', 'man', 'was', 'also']",non-sarc
"['budget', 'deceive', 'people']",non-sarc
"['yes', 'it', 'has', 'come', 'testicles', 'budget', 'head', 'throat', 'minister', 'does', 'not', 'like', 'people', 'oppose', 'friends', 'can', 'go', 'wild', 'animals', 'people']",non-sarc
"['good', 'budget', 'budget', 'budget', 'glorious', 'last', 'good', 'person', 'only', 'profit']",sarc
"['very', 'unjust']",sarc
"['t', 'gratitude', 'national', 'line']",non-sarc
"['Sabah', 'remember', 'people', 'eat', 'stones']",sarc
"['is', 'not', 'increase', 'salary', 'all', 'goods', 'transport', 'went', 'up', 'also']",sarc
"['noise', 'is', 'do', 'not', 'know', 'who', 'jackass', 'just', 'got', 'flatter', 'minister']",non-sarc
"['why', 'there', 'be', 'even', 'more', 'why', 'not', 'only', 'so', 'same', 'government', 'had', 'peninsula']",non-sarc
"['no', 'direct', 'line']",non-sarc
"['stupid', 'stupid']",non-sarc
"['I', 'still', 'not', 'satisfied', 'why', 'public', 'transport', 'is', 'also', 'increasingly', 'dry', 'is', 'Sabah', 'Sarawak', 'has', 'only', 'link', 'main', 'suction', 'Stamp', 'fuck']",non-sarc
"['eat', 'only', 'oh']",sarc
"['peninsula', 'example', 'Sabah', 'Sarawak', 'examples', 'thought', 'thinks', 'it', 'does', 'not', 'understand', 'differentiate', 'transmission', 'purchase', 'price', 'is', 'suck', 'suck', 'all', 'money', 'can', 'live', 'oil', 'household', 'necessities']",non-sarc
"['foolish', 'minister', 'had']",sarc
"['salary', 'salary', 'peninsula', 'Sabah', 'Sarawak', 'must', 'also', 'why', 'there', 'is', 'a', 'double', 'standard', 'in', 'Malaysia', 'he', 'said', 'one', 'accord', 'Sabah', 'Sarawak', 'minister', 'why', 'quietly', 'hate', 'people', 'Sabah', 'Sarawak', 'Stamp']",sarc
"['good', 'old', 'foreigners', 'is', 'salary', 'does', 'not', 'rise', 'too']",sarc
"['Sabah', 'Sarawak', 'chapter', 'do', 'not', 'hear', 'it', 'at', 'same', 'peninsula', 'shrimp', 'paste']",sarc
"['Sabah', 'Sarawak', 'do', 'not', 'have', 'use', 'money']",sarc
"['all', 'useless']",sarc
"['why', 'do', 'not', 'remember', 'same', 'people', 'there', 'just', 'want', 'live']",sarc
"['national', 'line', 'is', 'national', 'line', 'wait', 'is', 'dead']",non-sarc
"['pig', 'has', 'not', 'been', 'adjusted', 'basis', 'why', 'in', 'Sabah', 'Sarawak', 'only', 'had', 'pay', 'high', 'prices', 'appeal', 'Sarawak', 'peninsula', 'is', 'not', 'a', 'major', 'contributor', 'economy', 'Malaysia', 'is', 'not', 'fair', 'n', 'square', 'ask', 'more', 'pigs']",non-sarc
"['looks', 'very', 'Sabah', 'Sarawak', 'in', 'children', 'two', 'states', 'is', 'not', 'a', 'large', 'contributor', 'government', 'revenue']",sarc
"['buying', 'goods', 'online', 'only', 'in', 'peninsular', 'Sabah', 'Sarawak', 'postage', 'pm', 'I', 'claim', 'jackass', 'article', 'at', 'ha']",sarc
['thank'],non-sarc
"['why', 'Sabah', 'Sarawak', 'while', 'cost', 'living', 'there', 'is', 'higher', 'price', 'goods', 'already', 'expensive']",non-sarc
"['Malaysia', 'money', 'equal', 'amount']",sarc
"['remember', 'it', 'was', 'great', 'current', 'economic', 'situation', 'people', 'pay', 'any', 'salary', 'Indonesia']",sarc
"['last', 'year', 'has', 'yet', 'enforce', 'government', 'let', 'witness', 'lies']",non-sarc
"['peninsula', 'Sabah', 'Sarawak', 'price', 'goods', 'know', 'not', 'expensive', 'pesky', 'pigs', 'testicles', 'testicles', 'penis', 'na', 'pay', 'pig', 'testicles', 'easily', 'unlucky', 'bastard']",non-sarc
"['Thanks', 'also', 'more', 'grateful', 'salary', 'is', 'is', 'even', 'a', 'little', 'bit', 'money', 'thanks', 'is', 'tofu', 'cakes', 'amine']",non-sarc
"['is', 'not', 'relevant', 'is', 'well']",sarc
"['r', 'life', 'cheated']",sarc
"['why', 'Sabah', 'Sarawak', 'in', 'its', 'salary', 'more', 'waiting', 'August', 'foolish', 'not', 'crazy', 'February', 'alone']",non-sarc
"['le', 'mc', 'is', 'still', 'not', 'enough', 'now', 'expensive', 'child', 'is', 'not', 'quite', 'a', 'thousand', 'people', 'today', 'all', 'expensive']",non-sarc
"['I', 'peninsula', 'but', 'I', 'think', 'is', 'not', 'fair', 'salaries', 'Sabah', 'Sarawak', 'why', 'not', 'up', 'good', 'work', 'significantly', 'stranger', 'came', 'near', 'Malaysia', 'again', 'rich']",non-sarc
"['salaries', 'have', 'increased', 'employee', 'productivity', 'increase', 'in', 'dairy', 'can', 'not', 'be', 'put', 'any', 'day', 'can', 'not', 'be']",non-sarc
"['difference', 'only']",non-sarc
"['it', 'is', 'not', 'just', 'right', 'Sabah', 'Sarawak', 'peninsula', 'seemed', 'very', 'biased']",non-sarc
"['people', 'fooled', 'again', 'peninsula', 'Sabah', 'Sarawak', 'fooled', 'again', 'much']",sarc
"['Sabah', 'Sarawak', 'be', 'a', 'more', 'expensive', 'salary', 'are', 'all', 'nearby', 'fool', 'has']",non-sarc
"['are', 'only', 'satisfied', 'state', 'Sabah', 'Sarawak', 'us', 'live']",non-sarc
"['unfair', 'weighing', 'leaders', 'sided']",sarc
"['swine', 'government', 'Sarawak', 'Sabah', 'government', 'also', 'does', 'not', 'oppose', 'direct', 'pig']",non-sarc
"['not', 'just', 'state', 'government', 'but', 'lopsided', 'goods', 'in', 'Sabah', 'Sarawak', 'n', 'silver', 'only', 'expensive', 'private', 'homes', 'far', 'back', 'right', 'good', 'prices', 'across', 'country', 'align', 'salary', 'increase', 'was', 'due', 'in', 'equal', 'right']",non-sarc
"['Sabah', 'Sarawak', 'remember', 'cost', 'living', 'is', 'high', 'especially', 'in', 'oil', 'gas', 'all', 'know', 'expensive', 'here']",non-sarc
"['Sarawak', 'Sabah', 'had', 'been', 'long', 'in', 'stepchildren', 'by', 'salary', 'can', 'also', 'vary', 'but', 'marketing', 'a', 'strong', 'example', 'actual', 'toll', 'free', 'cottage', 'just', 'right', 'free', 'close', 'properly', 'payable', 'other', 'titled', 'free', 'people', 'Sarawak', 'Sabah', 'do', 'not', 'know', 'high', 'school', 'not', 'be', 'excited', 'so', 'grateful', 'print', 'vote', 'more', 'national', 'front', 'it', 'but', 'perhaps', 'it', 'is', 'also', 'good', 'there', 'is', 'a', 'difference', 'peninsula', 'peninsula', 'there', 'be', 'restrictions', 'as', 'before', 'Sabah', 'Identification', 'Card', 'a', 'wide', 'range', 'overseas', 'right']",sarc
"['a', 'lot', 'is']",sarc
"['clever', 'budget', 'is', 'now', 'is', 'a', 'budget', 'do', 'not', 'have', 'know', 'value', 'waste', 'matter', 'cent', 'coin', 'will', 'not', 'want', 'pay']",sarc
"['bias', 'only']",sarc
"['not', 'fair']",non-sarc
"['why', 'in', 'contrast', 'domestic', 'large', 'contributor', 'federal', 'government']",sarc
"['Sabah', 'want', 'manage', 'own', 'country', 'Singapore']",non-sarc
"['type', 'house', 'prices', 'also', 'why', 'peninsula', 'Sabah', 'Sarawak', 'different', 'kinds', 'dementia', 'only']",sarc
"['also', 'wants', 'raise', 'money', 'pay', 'fool']",non-sarc
"['good', 'no', 'need', 'say', 'Malaysia', 'is', 'equally']",sarc
"['Sabah', 'Sarawak', 'will', 'be', 'subdivided', 'parliament', 'won', 'again']",sarc
"['salary', 'is', 'not', 'same', 'Sabah', 'Sarawak', 'more', 'pathetic', 'center', 'peninsula', 'a', 'little', 'broom', 'Match', 'advance', 'national', 'line', 'vote', 'again']",sarc
"['is', 'folded', 'n', 'later', 'is', 'not', 'helping', 'people', 'but', 'people', 'gave', 'load', 'Sabah', 'Sarawak', 'n', 'is', 'use', 'Malaysian', 'peninsula', 'salary', 'is', 'not', 'same', 'now', 'young', 'people', 'are', 'fed', 'up', 'Sabah', 'Sarawak', 'n', 'know']",sarc
"['why', 'not', 'in', 'sync', 'Sabah', 'why', 'different', 'class', 'citizens', 'brain', 'it', 'goes']",sarc
"['increase', 'salary', 'be', 'a', 'thousand', 'thousand', 'a', 'half', 'as', 'well', 'as', 'cost', 'living', 'will', 'equal', 'more', 'do', 'people', 'remember', 'employer', 'is', 'na', 'cover', 'wage', 'increases', 'have', 'charge', 'a', 'car', 'service', 'will', 'increase', 'transportation', 'costs', 'raise', 'cost', 'price', 'goods', 'all', 'take', 'not', 'a', 'little', 'one', 'or', 'two', 'does', 'not', 'matter', 'but', 'already', 'own', 'a', 'factory', 'is', 'I', 'think', 'I', 'already', 'raise', 'service', 'charge', 'I', 'sell']",non-sarc
"['Sabah', 'Sarawak', 'are', 'wearing', 'loincloths', 'anymore', 'is', 'it', 'kind', 'salary']",sarc
"['why', 'still', 'exists', 'a', 'difference', 'minimum', 'salary', 'Borneo', 'class']",non-sarc
"['had', 'main', 'bandits', 'somehow', 'just', 'minimum', 'wage', 'he', 'did', 'not', 'know', 'any', 'studies']",non-sarc
"['is', 'makes', 'a', 'thousand', 'stupid']",sarc
"['unfair', 'wages', 'are', 'not', 'same', 'as', 'eating', 'rice', 'also']",sarc
"['pay', 'equal', 'pay', 'equal', 'pay', 'exactly', 'same', 'oil', 'but', 'why', 'wages', 'do', 'not', 'equal', 'said', 'Malaysia', 'ass', 'kind', 'is', 'synchronize', 'only', 'once']",non-sarc
"['Sabah', 'Sarawak', 'support', 'again', 'he', 'made', 'us', 'be', 'no', 'different', 'dignity', 'Stamp']",sarc
"['why', 'pay', 'on', 'peninsula', 'is', 'not', 'equal', 'salary', 'in', 'Sabah', 'Sarawak', 'while', 'prices', 'goods', 'in', 'place', 'is', 'more', 'expensive', 'peninsula']",non-sarc
"['salary', 'increase', 'but', 'whatever', 'bad', 'business']",sarc
"['first', 'government', 'under', 'is', 'not', 'fair', 'either', 'eat', 'too', 'unequal', 'salaries']",sarc
['ghosts'],non-sarc
"['it', 'is', 'a', 'very', 'big', 'want', 'compare', 'cost', 'living', 'now', 'is', 'not', 'na', 'suck', 'article', 'meager', 'increase', 'it']",sarc
"['m', 'is', 'why', 'there', 'said', 'low', 'salaries', 'have', 'le', 'goods', 'Sabah', 'Sarawak', 'peninsula', 'was', 'expensive', 'bit', 'order', 'there', 'is', 'another', 'way', 'ss', 'pay', 'a', 'little', 'bit', 'more', 'contact', 'there', 'is', 'nothing', 'whatever', 'take', 'a', 'little', 'more']",sarc
"['I', 'do', 'not', 'understand', 'why', 'Sabah', 'Sarawak', 'minimum', 'wage', 'is', 'not', 'equal', 'peninsula', 'Sarawak', 'was', 'also', 'removed', 'or', 'in', 'Sabah', 'Sarawak']",non-sarc
"['I', 'plant', 'is', 'already', 'far', 'behind', 'ape', 'government', 'now', 'pay', 'all', 'not']",sarc
"['why', 'housewives', 'Indonesia', 'given', 'minimum', 'wage', 'while', 'travel', 'passes', 'borne', 'by', 'employer', 'alone', 'why', 'locals', 'salary', 'lower', 'housewives', 'seem', 'very', 'puppet', 'seized']",sarc
"['keep', 'in', 'Sabah', 'Sarawak', 'n', 'sm', 'all', 'flatterers', 'who', 'vote', 'its', 'own', 'sake']",sarc
"['clever', 'game']",sarc
"['there', 'is', 'no', 'minimum', 'wage', 'is', 'sufficient', 'swamp', 'no', 'n', 'oil', 'prices', 'do', 'not', 'rise', 'more', 'oil', 'alone', 'there', 'are', 'rising', 'people', 'remember', 'sending', 'goods', 'transport', 'oil', 'costs', 'will', 'increase']",non-sarc
"['Higher', 'minimum', 'wage', 'Thailand', 'again', 'have', 'high', 'wages', 'but', 'a', 'bit', 'sorry', 'poor', 'people', 'Malaysia', 'have', 'a', 'leader', 'like']",sarc
"['August', 'why', 'not', 'start', 'in', 'February', 'April', 'again', 'was', 'already', 'more']",sarc
"['expensive', 'goods', 'in', 'Sabah', 'why', 'bias']",non-sarc
"['want', 'eat', 'there', 'close', 'all', 'objects', 'do', 'not', 'have', 'say', 'much', 'more', 'wait', 'all', 'Malaysians', 'let', 'us', 'together', 'togetherness', 'cross', 'pass', 'life']",non-sarc
"['minimum', 'wage', 'is', 'head', 'mother', 'is', 'already', 'one', 'thousand', 'kinds', 'bangladesh', 'already', 'want', 'live', 'wages', 'like']",sarc
"['vote', 'was', 'seen', 'nationally', 'line', 'in', 'Sabah', 'Malaysia', 'Sarawak', 'not', 'pure', 'reason', 'faction', 'fun', 'rights', 'states', 'Sabah', 'Sarawak', 'fate', 'is', 'there', 'just', 'needed', 'time', 'alone', 'lifeline', 'neck', 'level']",sarc
"['Sabah', 'Sarawak', 'only', 'people', 'who', 'know', 'pain', 'its', 'own', 'sidelined', 'in', 'country', 'concept', 'Malaysia', 'Sabah', 'Sarawak', 'is', 'open', 'eye']",sarc
"['year', 'month', 'thank', 'sir', 'fixed', 'jib', 'ss', 'stepson', 'mu', 'expensive', 'goods', 'cheaper', 'wages', 'but', 'ss', 'ss', 'ss', 'tail', 'Malaysia', 'donated', 'a', 'lot', 'does', 'child', 'in', 'one', 'accord', 'Malaysia', 'Sarawak']",sarc
"['Sabah', 'Sarawak', 'is', 'suppressed']",non-sarc
"['head', 'testicles', 'unfair', 'wretched']",non-sarc
"['jackass', 'pm', 'last', 'year', 'he', 'had', 'a', 'general', 'minimum', 'wage', 'year', 'anyway', 'so', 'down']",sarc
"['do', 'not', 'blame', 'government', 'claiming', 'right', 'referendum', 'is', 'not', 'thought', 'why', 'people', 'want', 'come', 'out', 'Malaysia', 'Sarawak', 'people', 'can', 'opt', 'out', 'dah']",non-sarc
"['why', 'semester', 'Malaysia', 'rose', 'thousand', 'only', 'talk', 'minister', 'saw', 'it', 'private', 'job', 'has', 'long', 'been', 'working', 'increase', 'not', 'many', 'try', 'debated', 'an', 'annual', 'rise', 'private', 'sector', 'workers', 'mean', 'ok', 'right', 'things', 'all', 'more', 'toll', 'also', 'rose', 'in', 'price', 'countdown', 'is', 'disgusted', 'I', 'saw']",sarc
"['fortunately', 'foreigners']",sarc
"['enough', 'living', 'in', 'urban', 'goods', 'rental', 'cars', 'too', 'expensive', 'eat', 'drink', 'I', 'does', 'not', 'quite', 'live', 'directly', 'in', 'city', 'current', 'value', 'buy', 'snacks', 'child', 'runs', 'out', 'money', 'smaller', 'Malaysia']",sarc
"['is', 'scope', 'okay', 'bye']",sarc
"['equal', 'Malaysian', 'peninsula', 'higher', 'minimum', 'salary', 'Borneo', 'is', 'biased', 'why', 'today', 'leaders', 'must', 'be', 'in', 'peninsula']",non-sarc
"['is', 'Sabah', 'Sarawak', 'in', 'prices', 'goods', 'especially', 'expensive', 'food', 'kitchen', 'goods']",non-sarc
"['pay', 'equal', 'price', 'goods', 'here', 'more', 'expensive', 'chapters', 'do', 'not', 'want', 'pay', 'equal', 'case', 'want', 'pay', 'salary', 'equal', 'not', 'want', 'national', 'armies', 'have', 'made', 'lives', 'thousands', 'beehive', 'hair', 'can', 'also']",sarc
"['many', 'kinds', 'crazy', 'it', 'can', 'pay', 'off', 'even', 'have', 'support', 'can', 'pay', 'child', 'goes', 'home', 'car', 'body', 'more', 'correct']",sarc
"['Sabahan', 'does', 'not', 'matter', 'Sarawakians', 'still', 'like', 'cross', 'national', 'lines', 'let', 'go', 'it', 'can', 'do']",sarc
['thanks'],non-sarc
"['Sabah', 'Sarawak', 'dah', 'lah', 'expensive', 'goods', 'there', 'near', 'low', 'salary']",sarc
"['dah', 'dah', 'salaries', 'do', 'not', 'rise', 'right', 'behind', 'it']",sarc
"['is', 'evidence', 'bright', 'children', 'ss', 'peninsula', 'can', 'be', 'so', 'kind', 'comment']",non-sarc
"['in', 'aid', 'just', 'match', 'booger', 'only']",sarc
"['is', 'not', 'fair']",non-sarc
"['situation', 'is', 'a', 'little', 'foreign', 'us', 'Malaysians', 'same', 'basic', 'outsiders', 'can', 'remain', 'outsiders', 'Malaysians', 'in', 'first', 'right', 'over', 'back', 'people', 'first', 'daughter', 'was', 'sitting', 'in', 'own', 'country', 'there', 'was', 'no', 'difference', 'in', 'salary', 'foreigners']",sarc
"['Sabah', 'Sarawak', 'rank', 'officer', 'rank', 'clerks', 'only', 'peninsula', 'can', 'be', 'same', 'salary']",non-sarc
"['signal', 'is', 'do', 'not', 'vote', 'again', 'bury', 'national', 'ranks', 'next', 'only']",sarc
"['is', 'it', 'are', 'Sabah', 'Sarawak', 'significant', 'new', 'salary', 'favor', 'only', 'Malaysia', 'can', 'just', 'poop']",non-sarc
"['I', 'really', 'wonder', 'difference', 'is', 'government', 'Sabah', 'Sarawak', 'peninsular', 'Malaysia', 'salary', 'levels', 'will', 'also', 'have', 'value', 'differentiated', 'salaries', 'while', 'paying', 'income', 'tax', 'same', 'value', 'claimed', 'Sabah', 'Sarawak', 'do', 'think', 'rock']",sarc
"['such', 'good', 'Malaya', 'Sarawak', 'Sabah', 'out', 'only', 'scales', 'have', 'been', 'biased']",sarc
"['note', 'state', 'sits', 'on', 'a', 'tree', 'wearing', 'loincloths', 'reason', 'it', 'is', 'a', 'small', 'salary', 'was', 'not', 'story', 'had', 'wait', 'only', 'na', 'do', 'it']",sarc
"['is', 'difference', 'between', 'peninsula', 'Sabah', 'Sarawak', 'why', 'there', 'must', 'be', 'a', 'difference', 'in', 'salary', 'did', 'not', 'know', 'brain', 'is', 'pm']",sarc
"['head', 'testicles', 'pack', 'unlucky', 'minister', 'peninsula', 'favor', 'child', 'eyes', 'are', 'open', 'Sarawak']",non-sarc
"['but', 'it', 'be', 'remembered', 'government', 'raise', 'minimum', 'wage', 'do', 'not', 'think', 'government', 'was', 'foolish', 'wise', 'actually', 'pay', 'more', 'has', 'also', 'increased', 'age', 'new', 'year', 'can', 'take', 'before', 'take', 'money', 'government', 'is', 'able', 'settle', 'all', 'its', 'debts', 'using', 'money']",non-sarc
