comment,sent_majority,sarc_majority
Masa tun m jd pm tak brim pun..blh hidup rakyat. Tak ada gst pun..ok saja rakyat..rakyat tak marah pun. Ini semua kena bayar...itu ke dapat brim ini..?,pos,non-sarc
Aku selama ni undi BN..aku bersumpah xakan undi BN lg...pas lepas ni pilihan aku...babi najib,neg,non-sarc
Yeayy...brim naik 60 hengget.tol pun naik gak.,pos,sarc
Bajet 2016 xdengar pn xape..benda yg sm..bg xseberapa sekali dia kaut lebih dr yg dia bg...puiii..,neg,sarc
Pusing2,pos,sarc
alhamdulillah... syukur dapat br1m. yang mengutuk tu cuba2 la malu sikit. kutuk tp ambil br1m jgk.. hahahaaa.... klu x suka najib(BN) sgt. time pilihanraya nanti guna la kuasa undi korang tu sebaiknya..,pos,sarc
naik kan brim ...alamatnya harga barang melambung2 naiknya ...,pos,non-sarc
tu jerr larr modal pak najib nk melobi rakyat....,pos,sarc
Dia naikkan harga tol sewenang2...ingat semua pembayar tol tu dpt brim ke???pi m****s!!,neg,non-sarc
GST tetap GST malaun,neg,non-sarc
Cap ayam punya org,neg,sarc
"Xdpt br1m pun xpa aiihhh jnji harga barang turun, harga minyak turun, mks sara hidup turun... jgn nk suh aku bersyukur sbb malaysia masih aman..",pos,sarc
Terbaik lah Br1m...,pos,non-sarc
Tak guna bagi BR1M ...barang lagi naik lselepas ini,neg,non-sarc
"Brim, brim, brim.. pas tu tmbah utang pas tu naik lg gst pas tu harga brg berebut rebut naik lg pas tu tarik lg subsidi ntah pas tu apa lg plan dia.. asik nak mncinggg je kerje..",pos,sarc
Naik ler incometax husband aku nnt. Hak tui pui,neg,sarc
bestnya dpat brim..xsbar nk tggu thun dpan..,pos,non-sarc
Bg naik brim pastu kerah rakyat kerja mcm beruk utk byr gst...,neg,non-sarc
skli jerk aq dpt brim pastu tros xdpt...puihh r,neg,sarc
menyampah + meluat. yg dpt ttp le mulut ni yg xdpt kna tggng.,neg,non-sarc
naik 50 je..jp lagi die collect juta2..pemimpin zalim botak xbergune utk malaysia,neg,sarc
"Baru nAik 50rm dah nak kecoh... Yang gas, minyak, tol,gst, letrik .... Semua naik harga ape crita",neg,non-sarc
X pyah brim.gst cancel kira da ok..duit bnyk mna pun.habis juga,neg,non-sarc
ge amik buat bayar cukai. ini semua mainan si najib.,pos,sarc
Nda pyh brim org lain yg dpt mkn hasilnya,neg,non-sarc
"Alhamdulillah,BRIM dinaikkan seiring ngan kos sara hidup yg meningkat, tol naik..x lame lg public transport plak akan naik..lg lame najib memerintah maka makin tinggi la BRIM tu..",pos,sarc
Negara lebih memerlukan br1m itu. Tak pyh nak bagi kat kami. Guna utk byr hutang negara dan pulihkan ekonomi malaysia,pos,sarc
Alhamdulillah.orang beri.ambik.he.he.tahun ni dah dapat.tahun depan pulak.insyaAllah.,pos,non-sarc
yeahhhhh dpt brim lg tq jib pasni harga apa pula yg naik?? nanti bg alasan “rakyat da balon duit melalui br1m sbb tu utang negara banyak”  hahaha,pos,sarc
Xpyhla brim ni..bkn semua dapat....,neg,non-sarc
Gst lagi besar dari brim,neg,non-sarc
Bagi Rasuah 1 Malaysia,neg,non-sarc
Pemberian br1m xadil,neg,non-sarc
KALAU BRIM NAIK ... KOmpom...MINYAK..TOL..GST..AKAN NAAAIIKKKK..,neg,non-sarc
ini yang memyebabkan hutang negara tidak dapat diselesaikan.,neg,non-sarc
"Pm paling teruk dlm sejarah negara. Dia ni tak ada tokoh jadi Pm, syok sendiri je dia bila bercakap tapi rakyat tengok pun meluat",neg,non-sarc
Habis semua rakyat d perbodohkn..woi ingat kami d zaman firaun ke..nmpk sgt perangai mcm firaun.,neg,non-sarc
lama2 bankrap lah kerajaan.. untung sikit..belanja banyak.. hmmmm tp tkpe rakyat kan bodoh.. naik cukai pom tk pe..,neg,sarc
itu hari sembang ckp nak bagitau pasal duit 2.6b tu masa bentang bajet.mmg kaki kencing najib ni.,neg,non-sarc
hampeh,neg,non-sarc
Perbelanjaan untuk Br1m saja baru mewakili 2.8 peratus drpd jumlah bajet kerajaan..tahun depan boleh la diharap naik lagi..,pos,sarc
bajet penipu..x de pape yg nk banggakan..,neg,non-sarc
Bajet mencekik rkyat nma nya ni,neg,non-sarc
X hbs2 kencing. Tan sr Zeti yg tahu debit kredit kewangan negara,neg,non-sarc
Peruntukan pengursan ratus bil.peruntukan pembangunan puluh bil.saja.alahai.,pos,sarc
Sokong najib,pos,non-sarc
terima apa jua yg telah dibentangkan....dia buat yg trbaik...,pos,non-sarc
Senang2 saja salur duit rakyat. Sukati dia aje nak bantai duit rakyat. Apa nak jadi.,neg,non-sarc
Bajet teruskan langkah berimbang untuk keseksaan...kesengsaraan rakyat...kesejahteraan tang mana tuhhh!!!????,neg,sarc
X tgk pun.. Org mintak lain tp lain yg ko kasi..,neg,non-sarc
"SUNGGUH KA?? cam skrip je cantik, hasil belum tentu",pos,sarc
"Kepala abah dia..apsal still bg duit pd kroni lagi utk buat pr1ma?ingat sume org dpt beli?jgn sembang mcm jilake..apsal gomen xpantau je kenaikan harga umah semasa?demi menjaga poket masing2?pegi mati lahhh.. Ni bukan bajet 2016,tapi 'BAJET KRONI 2016' bertemakan 'MENSEJAHTERAKAN KEHIDUPAN KRONI DAN KONCO2 BN'",neg,sarc
Baget lowyer buruk....ada pitis ker dop??? Jiby....byk projek umah rakyat jem!,neg,sarc
Berlanjawan hampeh......tak sinifikan dlm mengurangkan kos sara hidup rakyat. Gst dia kaut tapi cukai yg lain tak di sentuh langsung yg sepatutnya dihapus atau dikurangkan......incometax? Bkn ramai yg kena pun itupun perlepasan baru mcm suam2 kuku jee. Hasil negara kurang rakyat pulak jd mangsa jd tempat kerajaan buat duit dgn kutip berbagai cukai...penjawat awam boleh laa senyum skit.,neg,non-sarc
Papa kedana sudah,neg,non-sarc
bajet 2.6b utk diri sendiri... Huhuhu,pos,sarc
sejahtera la sangat,pos,sarc
"Bajet, paling x sedap. Bajet untuk sokongan politik pribadi..",neg,sarc
Najib Babi,neg,non-sarc
X da yg best,neg,non-sarc
"Wuishhh. Ajaib ni. Belum laksana lagi dah tau untunggg. Hahaha. Siap sedialah minyak nk naik, harga barang dan ubat naik, cukai naik, dan najib naik.",pos,sarc
PM haram jadah..,neg,non-sarc
"Buat malu bapa dia sahaja.PM PM yang dulu mana satu semacam dia semua orang maki dan suruh dia turun ,dia pun tak sedar dan malu.Inilah PM Malaysia yang paling teruk dan dibenci orang ramai rayat malaysia.",neg,non-sarc
bajet galak rakyat berhutang...,pos,sarc
Semakin hancurlah..kehidupan rakyat semakin susah..,neg,non-sarc
Jadahnya.,neg,non-sarc
ekonomi mampan..rakyat merana..apa cer,pos,sarc
semua bajet buat2 bagos puiiiii......puiiii......,neg,sarc
Bajet jubo lembu,neg,non-sarc
Cakapl le apa nak cakap...kita semua dah tak percaya,neg,non-sarc
Ambil kira 1mdb lah mangkuk...,neg,non-sarc
"Sebelum bajet dibentangkan,, kononnya  nak ambil kos sara hidup yg makin meningkat,,itu keutamaan katanya,tapi tak nampak pun kos akan turun,,makin nak naik adala,,mampukah kerajaan skrg menurunkan kos sara hidup",pos,sarc
X per...lagi 3 tahun...sebelum pru 14...lepas tu siapla...najib dan semua pak menteri...idup ni bukan lama man pun...last2 mati gak,neg,non-sarc
bajet menipu rakyat,neg,non-sarc
Iyerlahhh ikut tekak kepala bana punyer bajet... “menteri kalu tak suke rakyat bangkang bole pi hutan berkawan dgn binatang” rakyat,neg,non-sarc
Bajet baik..bajet mulia...bajet bagus. Last2 dia org je untung,pos,sarc
Sangat2 tidak adil!,neg,sarc
SYUKUR TUHANKU T.KASIH BN,pos,non-sarc
Ingat orang sabah makan batu.,pos,sarc
"hahaha tak guna la naikkan gaji kalau semua brg, pengangkutan pun naik gak....",neg,sarc
Mana salleh keruak ni..y ni ko nda bising.y kau tau bodek najib jak.bahlul pnya menteri.,neg,non-sarc
Knpa plu ada rm20 lg. Npa x bg genap ja rm100 supaya sma dgn smenanjung rm1000. Bongok punya krjaan,neg,non-sarc
Tak selaras langsong.......,neg,non-sarc
Bodoh paluii,neg,non-sarc
Yg aku msih xpuas hati pengangkutan awam knp ada gst jugak??.. Makin kering la org sabah swk sbb bn najib dh main sedut ... Satu2nya penghubung ke melaya.. Wtf....,neg,non-sarc
Apa mau makan kalau 920 saja ohhhhh,pos,sarc
Semenanjung contoh 1 $100/- Sarawak contoh 1 $150 Sabah contoh 1 $200 Fikir fikirkan lah Kalau tak faham  Bezakan harga penghantaran dan pembelian This is SUCK SUCK all of our money to them  macm mna nak hidup  GST MINYAK BARANG2 kerpeluan isi rumah,neg,non-sarc
bodoh punya menteri....,neg,sarc
kalau gaji di semanjung 1000 gaji di Sabah Sarawak mesti la sama 1000 juga KNP ada double standard.. kata 1Malaysia..mana dia Sehati Sejiwa..Kenapa menteri Sabah Sarawak ini senyap je..makin benci org Sabah Sarawak dgn Malaya..,neg,sarc
Sedap ko warga asing la...org lama gaji xnaik pun...,pos,sarc
Pasal apa sabah sarawak lain..x d sama kn dengar smanjung..belacan!!!,neg,sarc
"Orang sabah, sarawak tak payah pakai duit ke",pos,sarc
Ini smua poyo!!,neg,sarc
Npa x sma?ko ingat dorang d sna jak mw hdup ka bangang,neg,sarc
BN ni mmg bhlul...tgu LA bn ni mampus....,neg,non-sarc
Babi punya dasar..!!kenapa xdiselaraskan shj..?kami di sabah sarawak terpaksa byr tinggi utk harga brgan bbnding semenanjung....bknkh swk penyumbang utama sumber ekonomi malaysia.?fair n square laa..xmntk lbih babi,neg,non-sarc
"Nampak sangat sabah sarawak di anak tirikan,bukankah dua negeri ni penyumbang besar pendapatan kerajaan?",neg,sarc
Macam beli barang dlm online je.. semenajung and sabah Sarawak...nak claim pastage...pm apasal kou bahalol sang at ha,neg,sarc
Alhamdulillah .,pos,non-sarc
Knpa sabah sarawak 920 sdgkan kos sara hidup di sana lebih tinggi harga barang pun mahal...,pos,non-sarc
Duit malaysia sama nilai dgn rupiah...huhuhu....,pos,sarc
Ingat 1000 tu besar ke dgn keadaan ekonomi skg ni. Org gaji indon pn gaji 1200.,pos,sarc
Yang tahun lepas belum lagi di kuat kuasakan ... mari saksi pembohongan kerajaan pelingkup...,neg,non-sarc
"sepatutnya Semenanjung rm920, sabah sarawak labuan rm1000. HARGA BARANG KAT SSL MAHAL TAU TAK BABI BUTUH SIAL LANCAU. SAMPAI BILA KAU NAK LANCAUKAN GAJI SSL? BABI GAMPANG SIAL LANCAU KIMAK JADAH",neg,non-sarc
Alhamdulillah naek jgk gji brsyukur laa pa yg da...walaupon sdkit mnrr laa tau berkat duit tuh amin...,pos,non-sarc
Rm1000 da x releven la weyh,neg,sarc
Idup2 r kne tipu,neg,sarc
"Knp Sabah Sarawak di ank tirikn, gaji naik tggu Julai bodoh gilakan, sal x Januari je",neg,non-sarc
Klu mc ni le ..mmg msih x mcukupi ..skg brng2 mahal ...klu ank rmai mmg x ckup seribu .zmn skg smua nya mhal,neg,non-sarc
Aq org semenanjung..tp aq rasa x adil..gaji org sabah sarawak Rm 920..knp x up kan 1k...bermakna org asing dtg kje kt Malaysia diorg lg kaya...,neg,non-sarc
Gaji dh naik. ....pekerja di perah naikan produktiviti 20%.......klu tak dpt hari2 kena tarok......aptb......,pos,non-sarc
ape beza Rm920. ?alg2 bgi RM 1000 jk lha. ?puiii,neg,non-sarc
Tak adil btl la cm ni sbh srwk 920 semenanjung 1000...nmpk sngt berat sblh...,neg,non-sarc
"Kahsian rakyat semenanjung kena tipu lg, sabah & sarawak kena tipu lg banyak! Hahahaha..",neg,sarc
Patutnya sabah sarawak la yg lebih lagi gajinya.. Dah semua lebih mahal kt sana..bodoh punya najib,neg,non-sarc
Kita hannya berpuas hati bilah kita menjadi negara sabah sarawak.hidup sskm.,neg,non-sarc
Tak adil....timbangan Bn berat sblh Puiiiiiiiiiiiii...pemimpin Bongok,neg,sarc
Kerajan babi. Kerajan serawak dan sabah pun babi tak bantah langsung,neg,non-sarc
Kerajaan x adil.. 1 negara tp berat sebelah.. brg yg d sbah n srwak lg mhal. Org2 prkja swasta jauh blik ke kg hlaman. Kn lg baik harga d seluruh negara d selarikan. Kenaikan gji pn kena d sama rata kan.,neg,non-sarc
Igt sabah swk labuan kos hidup x tinggi ka. Labuan terutamanya bandar oil and gas..semua kat sini mahal tau x,neg,non-sarc
"Sarawak dan Sabah mmg dah lama dianaktirikan oleh Umno. Itu sbb tangga gajipun boleh berbeza. Tapi bila pemasaran kuat, contohnya bagi TOLL FREE (sebenarnya pondok tol saja bagi free, tol ttp kena bayar) dll yang bertajuk “FREE”, maka rakyat Sarawak dan Sabah (ntahlah sekolah tinggi ke tidak) akan teruja dan begitu terhutang budi pada PM dari Umno. Undilah lagi BN iya!!! Tapi mungkin elok juga ada perbezaan dari Semenanjung sbb bila orang Semenanjung ke sana kena sekatan mcm2. Dulu ke Sabah nak kena bagi IC dan mcm2. Mcm ke luar negara betul.",pos,sarc
Sedikit? Banyak adalah...,pos,sarc
"Pandai2 la bajet,rm1000,skrg ni la kne thu nilai berjimat,jgn bazir.walau 5sen,nti xd duit syling nk byar GST huhuhuhu,",pos,sarc
Mcm berat sebelah je,pos,sarc
Tidak adil,neg,non-sarc
Hahahahahah. Napa di bezakan.maka negeri penyumbang yang besar utk kerajaan pusat.,pos,sarc
Sabah for sabahan. Kami mahu macam singapore urus Negara sendiri!!!,neg,non-sarc
Harga rumah cemana pulak Najib??kenapa berbeza semenanjung dan sabah sarawak ??macam nyanyuk je,pos,sarc
Naik gaji pun nak bayar dgn duit GST sampai bodoh,neg,non-sarc
Puiii.....baik xpayah kata 1malaysia..bagi la sama2 rata??????,neg,sarc
PRU 14..sabah serawak akan dipecah lagi mjadi 100 parlimen..menang lagi umno bn..hahaha.,pos,sarc
Gaji xsama???..sebab org sabah serawak lebih bangang dari org semenanjung..hasil pusat sapu..bagi sechiput..padan muka..undi bn lagi..hahaha.,neg,sarc
Gulung tikar la bn n umno..nti pru13..hahahaahha..ni bkn tlg rkyt..tp kc beban rkyt sbh n srwk..pa gna satu malaysia..gaji tk sama ngn smjung...skrg org muda2 sbh n srwk..da muak tw...:-p,neg,sarc
Knapa tidak d selaraskan..knapa perlu berbeza..adakah sabah warga negara kelas ke 2!!!! Mna perginya otak najib,pos,sarc
"Upkan gaji pun jd seribu seribu setengah sama gak. Kos sara hidup akan sama naik. Korang ingat kat mana majikan ni nak cover kenaikan gaji pekerja mereka. Tentulah pada caj perkhidmatan kereka nanti. Naik kos pengangkutan , naikan kos harga barang. Semua naiklah bukan sikit. Kalau sorang dua xpa tp kalau dah satu kilang. Sendiri fikirlah. Kalau aku aku pun naikkan caj perkhidmatan yg aku jual.",pos,non-sarc
Soo sabah dan sarawak pakai cawat llagii la kalau dah gaji mcm ne,pos,sarc
Kenapa masih wujud perbezaan ﾅgaji minimum ? Rakyat Borneo ne kelas ke 2?,neg,non-sarc
Bangang punya najib penyamun.. Main letak je gaji minimum.. Ntah bila dia buat kajian pun tak tahu..,neg,non-sarc
"La ni seribu apa bkin,,, bodoh",neg,sarc
tk adl..gji tk sma...sma2 mkn nsi gak...,neg,sarc
"Bayar gst sama bayar minyak sama bayar tol sama,  tapi knapa gaji x sama,  kata 1 Malaysia,  cibai apa cm ni... Selaraskan je la skali...",neg,non-sarc
Org Sabah Sarawak sokong lg Bn Najib. Dia buat kita macam xde maruah. Jauh bezanya kita ngan Malaya.,pos,sarc
"Kenapa gaji di semenanjung tidak sama dgn gaji di serawak, sabah & labuan? ???? Sedangkan harga barangan di 3 tmpat ini lbih mhal dp smenanjung!!",neg,non-sarc
Gaji naik tapi.bisnes teruk..ntah apo2,pos,sarc
Dari dlu kerajaan dibawah pimpinan najib TIDAK ADIL..sama2 makan jg..gaji x sama rata,neg,sarc
hantu jembalang,neg,non-sarc
Besar sgat lah rm100 tu kalau nk dibandingkan dgn cost of living skrg. Dah lah..tkyah nak ulang2 psal kenaikan yg tak seberapa tu.,neg,sarc
Kata 1m..... sooo ngaper sana gaji rendah... dh le brng sabah sarawak pun mahal sikit dri semenanjung kalau order ada plak... charhe lain utk s&s. Patut gaji sana la kena lebih sikit.... ntah apa apa.... bagi sikit ambil banyak...,pos,sarc
Saya tak paham knapa Sabh & Srawak gaji minimum tak semarata kat semananjung...klu bgeni Sabah & Srwsk pun rendah juga GST atau hapuskan GST di Sabah & Sarawak...,neg,non-sarc
Kilang aku da 1200. Jauh ketinggalan da ko kera jaan. Patut skrg gaji smua 1500. Bkn 1000.,neg,sarc
Kenapa suri rumah indon diberi gaji minimum 1200? Sdangkan pas pejalanan mereka ditanggung oleh majikan sendiri? Kenapa gaji rakyat tempatan sendiri lebih rendah dari suri rumah? Nampak sangat wayang disitu..,neg,sarc
Kekalkan umno di sabah n serawak.mp yg anda undi semua pembodek utk kepentingan sendiri..,pos,sarc
Pandai pemainan nye...,pos,sarc
"tak paya ada gaji minimum, cukupla tiada gst n harga minyak tak naik. minyak naik ja, ada barang turut naik. diorang ingat transport antar barang tdk guna minyak ka. kos makin bertambah",neg,non-sarc
Gaji minimun thailand lagi tinggi. Huh. Walaupun kita ni gaji tinggi sikit tapi kasihan orang2 lain. Malaysia Malaysia. Malang ada pemimpin macam ni,pos,sarc
1 julai???..knp pula x mula 1 januari ..gst dri april lg..itu ini dh naik!,pos,sarc
barang di sabah mahal bah.. kenapa berat sebelah,neg,non-sarc
phuiii ko sana..nak mkn apa dgn 1000 kt kl ni..semua benda naik..xpayah ckp byk ...tunggu je pru ni..kpd semua rakyat malaysia..mari kita bersama2 bersatu hati pangkah PAS...Hidup Hadi Awang...,neg,non-sarc
Gaji minimum kepala omak ko la..900 la seribu la..dah mcm bangla dah..nak idup mcm mana gaji mcm tu..,neg,sarc
nampak sangat yg undi bn/umno di sabah dgn sarawak bukan 100% pure malaysia.. sbb puak umno sendiri permainkan hak orang sabah/sarawak..  nasib la.. negeri sana hanya diperlukan time talian hayat paras leher je..,pos,sarc
Hanya Orang Sabah & Sarawak Yang lebih tahu sakitnya dianak tirikan di negara sendiri  .. mana konsep 1 malaysia ??? Orang SABAH & SARAWAK  buka la mata ..,neg,sarc
1 bln rm80...1 tahun rm80x12=rm960...tQ pak jib...SS ttap ank tiri mu...barg mhal utk SS tp gaji murah utk SS...eko mlysia SS yg byk mnyumbangkn...adakh ini 1 mlaysia 1 sehati sejiwa? sya ank sarawak..,pos,sarc
Smp bila la sbh&swk ditindasﾲ nie .,neg,non-sarc
najip kepala butoh...tak adil bn jelakee.,neg,non-sarc
Bahalul punya pm.....tahun lepas dia umum gaji minimum rm1200 tahun turun pula jdi rm1000.....,neg,sarc
jangan salahkan kitorang sebab tuntut hak refrendum.kerajaan x fkir ke kenapa rakyat sarawak nak kluar malaysia..kalau diikutkan kitorang boleh keluar dh.,neg,non-sarc
"Knpa sem.mlysia naik seribu je..ckp ke...menteri2 oiii,..tgok lh skt org kerja swasta..yg dh lama kerja knaikn pun xbyk..cuba bahaskn utk knaikkn tahunan pkerja swasta min brpa...lg ok kan...brg semua naik..toll pun naik harga...oiii najib undur lh...mluat aku tgok kau...",neg,sarc
yg untung wrga asing,pos,sarc
"Cukup ke RM1000 bagi mereka yang tinggal di bandar. Barang-barang terlalu mahal, sewa, kereta, makan minum, kalau saya. RM1000 memang langsung tak cukup hidup dibandar. RM100 ITU nilainya sekarang macam RM10. Beli makanan ringan anak pun habis. Duit Malaysia semakin kecik.",neg,sarc
Lingkup lah najib kali ini. Kbye,neg,sarc
GST sama rata satu malaysia ...gaji minimum semenanjung lebih tinggi dr borneo..mmg berat sebelah  pemimpin hari ni..kenapa mesti lebih di semenanjung ????,neg,non-sarc
Mana cukup rm920 d sabah sarawak harga barang makan mahal terutama barang dapur,neg,non-sarc
"Ape ni? Gst kami bayar sama rata, harga barang kat sini lagi mahal...bila bab-bab gaji, tak nak sama rata, ape kes..gst nak, nak bayar gaji sama rata taknak... BN dah nyawa2 ikan...buat rambut beribu2, macam sarang lebah dapat pulak wei...",neg,sarc
"Oiii banyak gila!!! Macam2 bole bayar tu...kena sokong Najib la lepas ni....bole byr kete, rumah, ank msuk u..mcm2 lg...ngokkk betul",pos,sarc
"Tak apalah sabahan & sarawakian masih suka & pangkah bn, biar pi lah bleh buat apa...??",pos,sarc
Terima kasih DSN...,pos,non-sarc
Ksiannya org2 sabah srawak..dh la brg kt sna mahal..gaji plak rendah..hurm,neg,sarc
Gaji dh rm1000 dh x naek ke...punndek btol lh.,neg,sarc
"inilah bukti yg terang2 najib anak tirikan SS, semenanjung dapat 1000 kita dapat 920, so apa komen najib",neg,non-sarc
"Rm920.00, dibtu hanya untuk korek tahi hidung sahaja.",pos,sarc
INI TIDAK ADIL..!!!,neg,non-sarc
Adil la cikit...warga asing dgn kita rakyat malaysia basic sama mana boleh...org luar tetap org luar. rakyat malaysia yg di dulu kan. Lebih kan rakyat dulu..adoi mcm ank tiri pulk duduk di negara sendiri..gaji pun tk ada beza dgn warga asing,neg,sarc
Sabah Sarawak pangkat kerani ja. semenanjug pangkat pegawai. mana bole sama gaji....,pos,non-sarc
Ni signal la utk kita jgn undi BN lagi..kuburkan je BN next PRU..,neg,sarc
kesian lah kita org sabah sarawak wp.labuan...baru rm920...gaji.. ahhhhhhh ketara banar pilih kasih nya.....ujah 1 malaysia.... #dapattahisaja#,neg,non-sarc
"Saya btl2 hairan la dgn kerajaan,  apa beza Sabah dan Sarawak dgn Semenanjung Malaysia???gaji pun ada taraf ka?? Gaji pulak nilai dibezakan sedangkan bayaran cukai pendaoatan dan GST sama saja nilai yang dituntut...??kamu pikir sabah dan sarawak ni batu ka???",neg,sarc
Kalau macam tu. Baik sarawak sabah keluar malaya ja. Dacing pun berat sebelah dah.,pos,sarc
"Maklum la,kami org sarawak duduk atas pokok dan pakai cawat..sebab itu org bagi gaji kecik pun kami x kisah punya..sabar je la,nk buat mcmmana..",pos,sarc
Apa beza org smnjg dgn sbh srwk? knpa mesti ada prbezan gaji??????  nda tau ni PM apa dlm otak dia,neg,sarc
SIAL KEPALA BUTUH PAK MENTERI SEMENANJUNG PILIH KASIH.... BUKAK LAH MATA ANAK2 SARAWAK!!!,neg,non-sarc
"Tapi harus di ingat, bila kerajaan naikkan gaji minima RM1000 jgn ingat kerajaan tu bodoh. Sebenarnya mereka bijak. Bila gaji naik, EPF pun naik. Umur dah 55tahun baru boleh amik EPF. Sebelum kita amik duit tu, kerajaan mampu melangsaikan segala hutang2 dgn menggunakan duit EPF.",pos,non-sarc
kalau dbandingkan harga barang smnanjung n sabah sarawak...smnanjung lgi murah n knpa lh gaji smnanjung lebih tinggi dbandingkan dgn  sabah sarawak.....hasil bnyak datang dari sabah sarawak....perlu adil lah ....,neg,non-sarc
Menteri2 sabah .. x dah 1 pun yg berani bersuara ..  semua kaki bodek .. nama jee 1 malaysia .. tapi gaji x selaras dgn semenanjung ..,neg,sarc
"Orang sabah sarawak pakah la lg umno,hahaha",pos,sarc
Kenapa x diselaraskan.Sabah sarawak pun bayar cukai.Kata 1 Malaysia.bijaN oh bijaN.,pos,sarc
pilih buluh btul la PM ne. Gaji d sabah cuma rm 20 rggit saja yang naik. Sdkan semenanjung rm 100 rggit. Jauh nya bezanya.  Ini memang tak adil....,neg,non-sarc
"Cakap Kencang, buat undang2  Kencang, enforcement??? Habuk pun tarak. Tak guna buat apa2 undang2 pun. Serupa tak buat apa2. Bila tanya, bergantung kepada syarikat. Wayang betul",neg,sarc
"sudahlah brg2 di Sabah mahal daripada smnjng, gaji pula dia bag I kecik, weii!! double standard btl!!",neg,non-sarc
Sabah dianaktiri kan oleh malaya,neg,sarc
bodoh...Sabah Sarawak labuan 920...smenanjung 1000.....pergi Sabah tgk harga barang mana murah sana ke smnjg????..Surat khabar metro pun sana lg mahal..hahaha..mcm mana kt sana bole kasi gaji kicik..indo minta 1200 terus mesyuarat.....nmpk sgt berat sebelah..,neg,sarc
Swasta....wlu pun 1000 tp majikan kt klg2 tetap ambik indon kerja....untung la...dok asrama semua free...bersih dapat basic 1000....rakyat malaysia jugak akan di anak tiri kan...,neg,sarc
knp ade perbezaan? hrga brg dkt sne lg mahal sbb charge penghntaran...dah laa seb baik ade sbh swak je najib leh menang..klau kat semenanjung ni..nyawa2 ikan je tinggal..,pos,sarc
Hahaha bgus2 lpas ni senang nk pau duit rakyat banyak skitt,pos,sarc
#1malaysia hotak dia berjangbul.. bagi la sama rata.apa nk beza2 plk.,neg,sarc
"Kesian btl...knpa sabah dn srwk,lbuan gji mcm tu....duk kl pun mna ckup mcm tu...nape lh mnteri2 nie....Guys ingt piliharaya Nnti...... Sumpah btl mnteri2 nie klu menteri indon minta pmbantu rumah 1200, d prtimbangkn lg...kita nie rkyt msia kja dri pgi smpi mlm...ssh dpt gji mcm tu.....hampeh btl...",pos,sarc
Gilak...ko igt org sabah sarawak telan minyak ndak payah makan nasi. Bangang betul ini bajet. Cok ko duduk di sabah 1 bulan dengan gaji minima rm920. Aku rasa mati2 ko memaki dengan kerajaan sekarang. Sial.,neg,non-sarc
Sampai bila nk diskriminasi org borneo..????? Gst tak pula kasi kurang sama org borneo... Sama juga byr jumlah yg sama.. Puiii!!!!,neg,non-sarc
Ok la tpi entah la,pos,sarc
Nape sabah sarawak gaji murah. Siannye.. brg2 sana kan mahal dr semenanjung.. sigh~,neg,sarc
"Teruk la utk majikan baru.. company br je bukak dh siksa nk bayar gaji pekerja... mcm mana nk berkembang, mcm mana nk maju. Kalau dh maju lain cerita lah... xde makanisma yg btl2 cantik la..",neg,non-sarc
1 julai 2016...5 bln ag nk msok thun bru..alahai pok jib...knp x teruskn ckp awl thun 2017..,pos,sarc
mengapa d semanjung 1000 di swak dan sabah 950 apa bezanya. mengapa tidk d seraras sekali ya itu 1000 d swak dan d sabah.  malah kos d swak lbh besar dri d semanjung. ini d kata kan 1  malaysia. semua nya jadi pak turut. mcm karabau d cucuk hidung.,pos,sarc
"Suruh menteri buat ujukaji.. Gaji seribu.. Dok bandar.. Dgn sewa rumah, bil2 pelbagai, anak2 sekolah, makan minum.. Silap2 motor pun x mampu nak beli.",pos,sarc
1mlysia gaji tk 1mlysia pn..napa kurng sma2 jg mkn bli pkai duit..mo byr suma sma puiii,neg,sarc
tdk adillll...kmi sabah sarawak mahu diselaraskn...mna 1mlysia ???,neg,non-sarc
pundek LA....plek tp benar.....,neg,sarc
"Menteri borneo dh senang,penting diri sendiri,sbb tu sabah serawak jgn mudah terpedaya,setiap agenda ada muslihat tertentu,ni semua lanun",neg,sarc
"Apa lh mcm ni x adil btl,gj srwk ngN sabah 920 je ke sbln.....x mgkn blh mcm ni....kbnykan hsl srwk ngan sabah dtg dr titik peluh diaorg jg nak bg mju ngri sdri jg",neg,non-sarc
Najib cakap xserupa bikin..suka2 naik...majikan yang pening nanti...xpasal2 tutup terus..! Huhu...,neg,sarc
"Setakat seribu, lah ni nak mkn apa dgn semua barangan mahal dn gst lg yg hr2 kena byr setiap kali berbelanja, sewa rumah je paling murah pun rm 450 lain2 hal lg, bodoh, bangang, bahlol, pm ni, dia gaji puluh ribu pun x cukup2, rompak duit rakyat dn negara lg, rakyat setakat seribu, kena buat dua, tiga kerja seharian pun belum cukup dgn keadaan barang yang mahal skrg ni. Pm ni akal letak kat bontot rosma agaknya.",neg,non-sarc
"Heyyy.. Hasil Sabah sarawak kalu maw di ambil bukan main... Kerana Sabah Sarawak manang Undi,, tapi kami kat belakang juga..kalu di ikutkan kos hidup Sabah Sarawak lagi mahal, Barang penghantaran cukai mahal Wahaii rayat Sabah Sarawak ini yg kita dpt kan.. Ckp pun tdk guna juga tdk akan berubah pun..",neg,non-sarc
Maid Indonesia pun demand minimum wage 1200 dah sekarang ni.. Buat malu betul,pos,sarc
