comment_eng,sarc_majority
ooi many kinds of crazy it can pay off even have to support Najib can pay child goes home car body more correct Songok,sarc
Sabahan does not matter Sarawakians still like cross national lines let go it can do anything,sarc
thanks dsn,non-sarc
kesiannya the Sabah Sarawak dah lah expensive goods there near the low salary hmmm,sarc
RM dah dah salaries do not rise to the right behind it,sarc
Najib is evidence that bright children tirikan ss peninsula can we be so kind comment najib,non-sarc
RM in aid just to match booger only,sarc
This is not fair,non-sarc
situation is a little foreign to us Malaysians same basic where outsiders can remain outsiders Malaysians in the first right over the back of people's first daughter was sitting in his own country there was no difference in salary with foreigners,sarc
Sabah Sarawak rank of officer rank clerks only peninsula which can be the same salary,non-sarc
This signal is we do not vote for Barisan Nasional again bury the national ranks next only pru,sarc
how is it we are the Sabah Sarawak Labuan wp significant new RM salary haha banar favor of his only Malaysia can just poop,non-sarc
I really wonder what the difference is with the government of Sabah and Sarawak to peninsular Malaysia salary levels will also have the value of differentiated salaries while paying income tax and GST same value claimed Sabah and Sarawak do you think this rock kah,sarc
if such good Malaya Sarawak Sabah out only scales have been biased,sarc
We note that the state sits on a tree and wearing loincloths reason it is for a small salary was not the story we had to wait only gonna do it how,sarc
what is the difference between the peninsula and Sabah Sarawak why there must be a difference in salary did not know what the brain is she pm,sarc
head testicles pack unlucky minister peninsula favor the child's eyes are open Sarawak,non-sarc
but it should be remembered that the government raise the minimum wage RM do not think the government was foolish wise when they actually pay more EPF has also increased the age of the new year can take EPF before we take the money that the government is able to settle all its debts using money epf,non-sarc
compared the prices of goods in Sabah and Sarawak n peninsula peninsula again why it's n peninsula salary higher than the Sabah Sarawak result many came from Sabah and Sarawak to be fair it,non-sarc
Sabah minister had not dared to speak out all flatter name only Malaysia but wages are not in line with peninsula,sarc
the Sabah Sarawak Umno does it again haha,sarc
why not also pay adjusted tax Sabah Sarawak Malaysia said oh sesame sesame,sarc
Bamboo is select the correct print jobs in Sabah is only RM ringgit's rise and its peninsula RM ringgit far this difference is not fair,non-sarc
ably taut create strong law enforcement to dust shall not make any similar law already does not do anything when asked directly dependent on the company's motion,sarc
Anyway goods in Sabah peninsula expensive than my salary was small bag she WeII correct double standard,non-sarc
Sabah in a stepdaughter by Stamp,sarc
stupid Sabah Sarawak Labuan Sabah peninsula went to see the price of goods to the peninsula where there's a metro newspaper there were more expensive haha how close it can ask for a small salary indo continue meeting looks very biased,sarc
but even private employers remain close klg Indonesia take profit work is all free boarding dock can clean basic Malaysians will also be at it stepson,sarc
why there are differences in the prices of goods more expensive there near the delivery charge because it is fortunately there Sabah Sarawak Najib can only win if the peninsula is fish lives only stay,sarc
haha nice kid played this fun little pouch much money people,sarc
Malaysia tuft of her brain is equally we can not tell the difference anyway,sarc
how is correct why Sabah and Sarawak Labuan salary of the sitting kl already where quite like it why it inister of these guys remember elections later swear properly inister is that the Indonesian minister to ask the maid to be considered again we are Malaysians working from morning to night difficult to salaries that kind of useless right,sarc
You remember the crazy Sabah Sarawak oil has not earned the right to eat rice motherfucker choke budget you're sitting in Sabah months with a minimum wage of RM I think you're dead now cursed with bad government,non-sarc
until when to discrimination against Borneo gst nor less the same for the same Borneo also pay the same amount puii,non-sarc
but somehow ok lah lah,sarc
why Sabah Sarawak's salary kesiannya expensive stuff right there on the peninsula sigh,sarc
"worse is the company's new employer'm awful just go to pay salary workers how can we grow how can we go forward, if we go forward another story is no proper mechanism is pretty",non-sarc
August else to go in the new year alahai pack jib why not continue talking awl year,sarc
why in the peninsula and Sabah Sarawak what's the difference why not on the line once it was in Sarawak and Sabah Sarawak even greater cost of this peninsula in Malaysia said it all so servile puppet of buffalo,sarc
asked the minister for the salary of one thousand docking experiments with the rent bill of schoolchildren to eat and drink various motor mistake was not able to buy,sarc
Malaysia Malaysia salary is not less the same no matter how well-made meal purchase money would pay all the same puii,sarc
we just do not want to be adjusted where Sabah Sarawak Malaysia,non-sarc
dusk is strange but true,sarc
Borneo minister'm happy because it's important myself Sabah Sarawak do not be fooled there are certain tricks of the agenda is all pirates,sarc
what is this kind of unfair correct salary Sarawak and Sabah only to one month may not be this kind of Sarawak and Sabah mostly come from the sweat of her people also want to advance their own country also,non-sarc
Najib easier said than done like a giddy ride employers will continue to cover xpasal haha,sarc
so a thousand is this going to eat what with all the expensive items and gst again that day have to pay every time you shop rent only the cheapest of any RM other thing more stupid motherfucker jackass pm he pay twenty thousand is not enough robbery money of the people and the country more people so a thousand have to do two or three jobs a day is not enough to state that an expensive present sense pm this park seems to tail Rosmah,non-sarc
"hoi result Sabah Sarawak if you want to take is not playing because Sabah Sarawak win votes but our back also if the Include the cost of living in Sabah and Sarawak more expensive shipping goods tax is expensive, O people of Sabah Sarawak is that we can not say no to also will not change also",non-sarc
Indonesian maid was minimum wage demand is now right for shame,sarc
patiently all these provisions god haha,sarc
silly boy that age has no experience or do we need to live on salaries stupid idiot drinks,non-sarc
it is for the budget in line with the Sabah and Sarawak to the peninsula RM,sarc
the private sector will continue to be stoned bankrupt point,sarc
This last item is more expensive salaries have gone up even more stuff,sarc
Indonesian maid was happy to ask the locals minimum wage minister wooden blind to what,sarc
many crazy RM's,sarc
The only trick,sarc
chat only minimal coordination but no useless,sarc
foolish think that the federal government has to Sabah Sarawak cheap kah tax Dahlah expensive goods cross the brain is indeed foolish to knee,non-sarc
why there is a difference between the peninsula and Sabah Sarawak Malaysia reputedly,sarc
The minimum wage for private sector wiped mat myanmar nepal vietnam bangladesh puii,sarc
why do we need this kind of double standard n Sabah Sarawak in Malaysia not to,sarc
so many foreigners want to enter Malaysia salary equal to citizens of Malaysians do not work all filled with congratulations Malaysia by foreign nationals,sarc
very little is not enough,sarc
why the budget that began in August ye had reason to first quotation gst haha,sarc
terbaiklah dato dato najib we still support najib,non-sarc
profit is the start of my basic work a new job can hold these basic haha,non-sarc
Malaysia but wages are not the same,sarc
if new jobs have to wait for August when the government more more luck tomorrow already lah nak start ooi,sarc
gah cymbal Malaysia would become a developed nation millions of years but still receive salaries below the ringgit advanced what useless,sarc
Sabah Sarawak Labuan gst already there is not the same article but what if the vote Sabah Sarawak haish be more unfair,non-sarc
stupid enough where the cost of living high with rice goods more oil right up to the GST again with the minister and the minister can print more stupid motherfucker,sarc
Najib remember Sarawakian parents eat noodles every day kah mentang mi gst why parents no salary min Sabah Sarawak is lower compared to the peninsula oh Malaysia is said to be one of the scales are evenly national lines,sarc
eh pesky pigs is passionate public employees who raise pigs is indeed unlucky,non-sarc
"minimum wage, too, did not all just in what more do you dream it",sarc
"do not select you for Sabah and Sarawak, there is the biggest contributor to the government vote Umno and Sabah and Sarawak is the donor in terms of high finance income so why pay the Sabah and Sarawak Labuan low so stupid to have the",sarc
The minister does not know the cost of living near Sabah Sarawak's like in kl oh why can not synchronize only,sarc
not just when to tune how is the Sarawak Sabah and Labuan when going in the right stepchild of Malaysia Najib,sarc
Sabah Sarawak what sin is always in its government has sidelined Songok,sarc
"Malaysia goals of the nation state, but why Sabah and Sarawak should be given a standard double ??? ???in Malaysia",sarc
said the Sabah Sarawak Malaysia but why the poor RM RM if it is right now that RM should be equal because we in Sabah Sarawak also pay GST with the same shipping costs but we have to make goods more expensive on the peninsula of Malaysia wrong side dish,sarc
Thanks but why not coordinate all the same,sarc
still can not defeat the electoral minimum wage has had haha,sarc
public employee salary minimum RM RM Sabah Sarawak RM why not let all the same to synchronize only eat rice all also want to make it fair for all the cost of living now RM was enough to,sarc
grass for only a slight increase in the,sarc
August was not this year> _ <,sarc
haha effects,sarc
it will be enough to pay for even poor little brim gst puii,non-sarc
not fair,non-sarc
RM pay GST was not enough poor people pester you you,sarc
You remember it haha not have enough salary of an kah,sarc
yay,non-sarc
I used a strange noise tgi lower income tax the rich get richer the poor get poorer now the rich are taxed tgi you the noise is not you who ask whether,sarc
The tax base salary n confirm price hikes despite the shock to the brim n RM,sarc
to the income RMK - RM per year is this well first public comment without reading what is,non-sarc
I've said it haha,sarc
good luck thank down the middle income,non-sarc
wow Malaysians we go haha,sarc
good income ANL up but the salaries and on it you pay as usual haha,sarc
lighter lighter jib money progressive people who can be at the bottom where there is a match can match please let up after people fall fallen puii,sarc
hectic here -Go to the rich,sarc
brim I can not pay my tax money to pay the IRB wants to recipients brim haha,sarc
vacuum must not read how they haha,non-sarc
it's good,non-sarc
all want more aiya eat haha pushes tax gross salary net salary trying to take everything look less fit people can not live any kid can not,sarc
of encouragement not only higher salaries people,sarc
now - this is madness,non-sarc
Pharaoh,sarc
Barisan Nasional government wants to slaughter the people we'll slaughter him in the next pru government debt for people who want to be the responsibility of this criminal gang of rogue states ,non-sarc
the problems of ordinary citizens and leaders to be free from tax,non-sarc
This noisy good income-m up to haha,non-sarc
haha haha's been said,sarc
the only government capable of making the tax increase people's hard-earned meal,sarc
ok lah income on it,non-sarc
thank pm Najib remember it pay extra tax will already be high-income people,sarc
puii all want more time motherfucker,sarc
it is he can brim income taxes rose le,sarc
more and more foreign investors to run it wise brother Najib,sarc
haha well that if the donation is not ok well-earned taxable best,sarc
bullshit,non-sarc
songlap PTPTN is what else we would not be unusual,sarc
so what vacuum task as leader of monkeys stolen to bribe government threatened enrich the child's birth are hollow reti bangang,sarc
good economic body said sending children to parents risked bergolok belly belt body exhausted its belt abdomen with a small salary whether there is any chance of working with foreign nations had to scramble,sarc
"This is the government's poor cite money from the only people who know the responsibility of the government all want to leave it to people you know, O ministers of corruption with this situation easiest step is to raise the fee that has to do to enter ipta this all will raise costs and increase the burden of the people the government owes the people dumbed-down whim to bear all",non-sarc
deb haha this is the economic policy of the pig,sarc
ok first talk only,sarc
the student was asked to cook fried rice is not dock gst this kid suh find money to fund the body also lacks ideas and make yourself more promise promise ministerial salaries in chapati right,sarc
inappropriate,non-sarc
what to be this,non-sarc
right opposition said the university college fees will go up and one face haha you people,sarc
increasingly sad,non-sarc
the school has to find its own source of money which would result gst parents who ostensibly for national development,sarc
I was only able to please laugh haha,sarc
ass what to learn even more fees to bad government is now,sarc
were selling fund is a form of learning time gonna find the funds to go away when it passed the country's overseas employment only until spm,non-sarc
Last spm do not enter sign ipta precious gems funds haha,sarc
minister stupid how people can become ministers,sarc
This was messy messy after creeps knees want to continue study,sarc
funds were selling student how to ask what,sarc
foolish minister had a statement from the fund were both looking for another bass diana,sarc
haha minister wants to privatize universities,sarc
eh not Najib said Malaysia's economy strong and sustainable to which one is correct,sarc
"nif the institutions of order were their own funds if the minister had affairs dredge the money people do have a man who was appointed to be the leader not whether the collection of taxes of all kinds is to accommodate institutions of the people and so do corruption and abuse of power that led to the instability of the economy has caused you leader in the category of trust focus and mortgage the future of the nation itself, we can only try but you are expected to govern with full trust to go down is not hard to be a leader if you just want to keep the cache itself n cronies angry indeed we upset the fact you guys like you first learn not to use public money waste",non-sarc
aik unstable countries say ok,sarc
saying it had to raise the toll to build schools and hospitals are now asked to find their own funds saw this very line of deceit people nationwide live,non-sarc
prize for pro aspirations haha,sarc
education chapter for the main provisions of national lines to more departments pm also,sarc
Education is now a victim,non-sarc
"wow, you are told that mdb own funds were not taken government funds that collect taxes from the people before you boss scolds scolds people",sarc
Najib told to return the money of the people,non-sarc
"Najib said Malaysia's economy is strong again ready for no ranking, but I forgot to turn the natural parents correct ranking is you guys dey got stupid pariah Umno members",sarc
the country's economy was already declining najib just do not want to admit what is going to be with this Malaysia,non-sarc
to shout parliament said the economy is very good and on track this can not talk to others about the budget post of prime minister was a billion RM,non-sarc
the future of corrupt ipta reason I find the source of corruption and other graduate,non-sarc
ehh not to print said economist said that we established this trick,sarc
n pm said budget allocation for education be told ministers million million now own search funds liar again,sarc
governance is a rogue state,non-sarc
pure teacher can ask the service to request funds on pilgrimage miserly haha,sarc
Najib said a stable economy unstable Idris Jusoh said anyone wants to believe this kind,sarc
Incoming student body now dead,non-sarc
??? A good idea to find its own funds ???charges here and there here and there cut budget,sarc
This motherfucker makin Umno Umno voters did not need to ask it again jackass Naturally,sarc
the goodness,sarc
jib said the Malaysian economy in the process of developing this advanced another talk,sarc
I agree if ipta find its own funds and does not rely on the ministry alone but is this the right time to implement the economic downturn of money the state lost as a result of governance left ipta struggling to drown himself government excited construct dozens of universities is said to be the future of quality graduate missing university building projects attributable to the interests of cronies finally when I melambak university ministry can not afford to bear the cost of his own funds were to thank the minister we meet in the afterlife,sarc
right stupid opposition which govern the country over the years so much so that our economy is unstable,sarc
??? Can help projecting the country's economy is now at a level less stable ???Najib said the country's economy but in stable condition hmm,sarc
infant kid learn intercepted that money help is it difficult to get zakat illegal want to if not to learn it called the lazy do not want to learn how can we learn if we want to eat anything bad about the rulers of the later responsibility is to Hereafter ye now does not see the hearts dark eat money is not a blessing,sarc
What is this new landscape expenditure budget has not yet been said is well less stable budget is not sincere to the people shopping for penny more agitated to please even the government do more for the people in contact with typhoid fever and dizziness,sarc
taxes paid after that you do what you're into the pockets of people to,sarc
Najib said the economy expanded well how this Deme,sarc
best idea,non-sarc
Dato Najib said the economy is firmly on track,non-sarc
rising tuition fees it seems his style,sarc
ipta will sell nasi lemak go to a mechanic shop on campus pub meal later,sarc
aik unstable that day pinocchio government said the economy is in a stable condition where this kind,sarc
crazy reason to raise student fees again PTPTN last nak kena facing the many people can not afford to learn to be a fool last Umno vote once again is not really evil cunning and crafty minister of this national front,non-sarc
can wrap the minister has not been this long wait just a little longer,sarc
These people say the economy is on a strong footing forecast revenue rises minister said another mmm why you are back right now,sarc
Government only know the money stolen people are now increasingly troublesome situation of money ministers have rich pig boo minister,sarc
less stable thing the devil told her there may be more economical gst right you're right up her royal bastard,non-sarc
The rustle pack joking Najib also said the economy was strong but he said less stable bad he got fired only this,sarc
take half billion to promote education in the country not to gag political,non-sarc
IKM if poly kah kah kah good institute's existing engine -go,sarc
Was it good luck ipta,sarc
who are fully report what's up budget did not want to see just wanted to know how my aunt gems increase haha what other interests do not want to know,sarc
said Malaysia's economy on track for a good stretch of time arrived budget another natural turn right,sarc
ok selling crackers,non-sarc
find its own funds it means we have to be up fee so it is best ye puii,sarc
laundry go-go,sarc
told ipta go-go biscuit factory,sarc
Ministers also tired of people missing to go,sarc
ipta order to create a hotel or homestay parents or outsiders it practical to just -go,sarc
kah kah kah follow the boss is looking for funding from the Arab profit can b,sarc
ipta own funds were exhausted long ago that student sued verbiage with the administration,sarc
the economy is not stable to ooi gst year bills coat for only RM bill for free lessons do not want to be stingy,sarc
there is also the minister who claims to own the Malaysian economy is less stable at the level of good riddance,sarc
Effervescent ramailah the student for night,sarc
students have to sell fermented pakat please seek funds,sarc
what is not in line with Najib Idris toyol bald pink lips he said the Malaysian economy at a very good right,sarc
happy only just cut off the salaries of ministers and members of parliament then abolish allowances nearby fooling babble alone save how many universities where students seek knowledge of the company's business is not gas and oil minister today what bangang which went results gst,non-sarc
up fees,sarc
so where is the right kind of education in Malaysia later fate of our children who want to learn the game he saw no,sarc
arab ask mayors conference after the fund still do not let anything out,sarc
raise fees out stories yahoo,sarc
um mandatory for any reason for this to rnd,non-sarc
soon more fees because it has to find its own funds,non-sarc
prepare the university fees will rise,sarc
to hint that he had,sarc
ipt name was public not private ipt why to have to find its own funds the consequences Sovereignty,sarc
should pay cut for ministers to ipta help all people to learn to remember that all log-rich body pack mak stupid minister has,non-sarc
puii,sarc
own funds were nice what more right to raise fees le fun,sarc
tsk tsk tsk soon increased fees are the good job,sarc
stupid ministers talk like this is so,non-sarc
no drain money to cronies,non-sarc
Najib Idris Jusoh has been leaked or not do not work for the proposed,non-sarc
ok,non-sarc
Songok has ministers,sarc
Similarly dah,sarc
why the government does not find the funds themselves do not have the money only to find the people responsible when spending money there for the conclusion of a crony,non-sarc
soft stupid things nearby student just gonna find a lot of income from students who do not eat enough where there is any bongos there where people thirsting for knowledge of non-profit minds were really,non-sarc
??? only sound strange that the country's economy is now at a level less stable ???previously said the country's economy stable,sarc
he wanted to tell the government not to expect,non-sarc
aik not bald that day saying our economy is growing into the most good throughout the continent urinary right huh,sarc
remember happy kah,sarc
The jackass Umno minister said on television that the profit najib all the funds actually all pretty but when ministers have to screening by the fund itself saw a snail's education minister Idris Jusoh quiet ride,non-sarc
is blind,non-sarc
it seems our country is rich in natural resources to where they have to swallow the earth to,sarc
what if the ministry of higher education with the Education Ministry last bit is coupled save what if it quits dato save a bit of shopping,sarc
to where to find the most stupid is pleased to raise the fees of government do now,sarc
pig properly since under the current government respects he was pleased that rich people,sarc
pakat prick bananas were selling their own funds,sarc
how to raise tuition fees to Malaysia what is gst,sarc
is selling land,sarc
it passes you'll have to bear it alone,sarc
give free lah haha,sarc
it is nice to be prisoners of a student now,sarc
feeding forward the troublesome people behind,sarc
ipt public funds alone were drunk does this minister,sarc
Miscellaneous fees should be increased sharply before the vehicle sticker nah RM shall be increased to RM boarding fees were also up,non-sarc
its provisions are less liable to find itself more,non-sarc
it is said the first blow to the budget,sarc
we never heard a word of economically unstable pm,sarc
reti best new design objects that can sell pretty sweet can act as a part-time model,sarc
you people make big money good school has a work order lo look silly money,non-sarc
Intermittent said good economy on the right track and got really good at this hearing lak try alahai,sarc
haha money is up to mdb to fathom were told that own funds,sarc
aik less stable will I watch television news today says the economy is getting more,sarc
if ipta under mdb happy just to fund haha,sarc
economy less stable at the level of what is said during the budget ape ape father said the Malaysian economy to achieve a good level of insight which one is correct ape to ape father,non-sarc
er words we say stable economy among the best economy what ideals,sarc
better ipta privatized if it has to find its own funds,non-sarc
increased fees for what is difficult is trying to help the people flocking,sarc
haha what a fucking government to,sarc
Najib Razak said our economy strong and encouraging mmm,sarc
worsened already thinking menterix Malaysian government is increasingly mencarut not just by gst,sarc
ipta for the event itself if the event were funds managed and can be the world's attention with his deadpan face demos earlier this minister can name and why all this is happening come on you're sitting near Malaysia corruption is corruption and cement cementing the government's mission and vision,sarc
"less stable, but when I heard the television news are all well and developed the advanced economies succumb",sarc
I saw him watching the game unfold million budget but want to breathe through their own funds were asked ipta haha,sarc
haha so IPTS is a new sign up fee,sarc
This time should the economic downturn is the minister want to show their credibility all requested salary will then only see the kind of minister who is responsible for all liabilities of the dock pakat keep their stomach kind of illegal business people only want to inconvenience,sarc
hmmm expected,sarc
the more developed countries more and more people trapped fool out ministers who waste public money,non-sarc
pity,sarc
Heavy tell you to look for what the government's own funds last student parents also to be,sarc
already missed a lot of this is that while Najib would hold ministers to parliament that motherfucker all cleverly dismissed,non-sarc
aik just stretch the budget Najib said the Malaysian economy at a good level even better than that kid slander rather it not rtm television to watch television and read the message to,sarc
The cabinet ministers should not have to pay payroll exp own funds is clever fundraising to,sarc
fund crested head brain you charge more fees that you charge it the curse of this,non-sarc
an easy way to increase the fees of RM million for the semester if the student good,non-sarc
Also remember happy kid were already own funds,sarc
This last is what more disappointing news,sarc
This ipta actually glad only that many want to find funds verbiage indeed raise fees before any such cooperatives own some kind of life but do not want to die shrink,non-sarc
Last ipta how these funds were saturated with a wide lower secondary school where goes the GST did not know,non-sarc
what made the ministry said Dato Idris suh first if successful new department under the follow dato find yourself saving a little money the government's annual allocation,non-sarc
songlap damage to insufficient funds to,non-sarc
it is raising the cost of education,non-sarc
gst brim waste and waste that people want the price down instead of money to buy expensive things for so,sarc
first tun m gst take care not only of Bliss live not dizzy budget article now phlegm,sarc
That means the government fails to rein in spending before so there gst gst again to close the last hole that saved the country gst praise haha,sarc
haha,sarc
what are you talking about this jackass haha,sarc
head brain you daily news,sarc
tax on excise tax has doubled its illegal to not feel dear minister,sarc
inflation is higher haha its users will be resolved to buy goods because gst,sarc
previously said the economy keeps more people just want to trick kah per try,sarc
menjahanam government cheated the people and the country can not mature minded and spirited Stamp just soulless money simply to satisfy their pockets all,non-sarc
more more more good that there is no paycheck night,sarc
gst on hold because he wants to recover najib extreme budget last past so that is why he said it nakkan this gst also let the people who bear,sarc
dead,non-sarc
like hokey gang gang gang up old skull cap high,non-sarc
haha,sarc
only the super-rich just do not feel bad about his wait will come out of it pru Umno people conform'm fed up,non-sarc
no GST was first established national budget is now nearly bankrupt,sarc
we should look at where the cause eliminate its cause before the recovery process,non-sarc
puii excise tax on people who are hard to fathom Bliss months receive a salary with bonus Malaysia is not safe yet you were there,sarc
basic fraudsters,non-sarc
head testicles nah,non-sarc
gst indeed difficult huh people,non-sarc
previously not be so anything new to my knowledge after the GST is what has become of the foolish,sarc
hmmm proper,sarc
correct any more wretched,non-sarc
Our leaders really great excuse after excuse,sarc
difficult for people who are rich only because gst how poor people also think that all goods have risen in price again what it was gonna be to know to understand it hurts,non-sarc
Our money is also oh,sarc
You rob us of responsibility,sarc
Najib blame the world economy alahai testicles,sarc
your comment is correct to good economy to play the shot just heard others comment if you also want to comment very good at home economics alone keep trying to do the right budget surplus,sarc
Najib these pigs,non-sarc
the only stop giving the brim brim budget grandfather's grandfather was channeled subsidies to reduce the cost of living,non-sarc
puii pm not to,sarc
dah lah faction ye eat of all the people on what it has to bear,sarc
liar,non-sarc
substantially correct suction of blood,sarc
"gst hell am oh please, right away greed pm deaf people are not going to follow a conversation Woe people made",non-sarc
echo mdb,non-sarc
gst benefit the people and strengthen the ruling party gst retention should be increased to the benefit of the country and nation,sarc
he's got shit we the people to be responsible,non-sarc
"what would gst gst, too, did not have any people were ok comfortable",non-sarc
can not believe you people must be wait gst he has been for more goodies already sedapkan we wait for the shaman later he was asleep haha people,sarc
"The government does not know how to manage people are looking for money to go where the government is the government open your eyes, O earth neighbors saw nothing but good care of the earth and eventually become a high-income country to abolish corruption, especially the shark pm please",non-sarc
The problem for the state government to bear its own debts Do not drag the people of tun m nor more these kinds of economic chaos,non-sarc
pang pong news for the economy know best and best source of income is taxable last nak cover issues of cis,sarc
haha,sarc
The good gst,non-sarc
going bankrupt country with luck I have savage gst can take people's money to cover up the,sarc
government debt to other countries played it for our money gst also difficult to bear it own its own debt,non-sarc
winch,non-sarc
easier said than done stupid,sarc
many whiners here thankfully there are things which,non-sarc
The correct answers are not in school and haha,sarc
gst percent raise it again we are pleased that the government find ways money,sarc
head testicles,non-sarc
metaphorically metaphorically said gst gonna rise again,sarc
ye shall'm very wasteful,sarc
why getting worse now that in addition to print many fooling many murder billion it go away,sarc
puii,non-sarc
people live for you people for money to tax only on the tax puii,sarc
I spend a pig she has to bear the seal,non-sarc
yummy taste all can only say thank gst now worth his guilt because it forced people to pay GST for the existing state aid went wrong,non-sarc
gst if there are more dead people once a year brim for gst daily contact with the gst removed the brim remove only the best anal minister had chicken ostrich,non-sarc
the prime minister a burden the people of other fun folk pm,sarc
ye shall know the money is getting thin but it stops it to brim,non-sarc
ape animal kingdom,non-sarc
were not out shopping smart,sarc
oh such a tax there was not enough people to the problem you had to GST only if the big boss is why scammers just want to rack more like a campaign benefited the people said gst,non-sarc
the existing lines are not quite yet whether austerity is not wasteful,non-sarc
GST should not be there if there is no brim trying to know najib,non-sarc
a clever minister first minister is not very clever kid money people want to burn blood,non-sarc
ahh shit,non-sarc
own money to take auto teller machine shall be gst this I dislike this,non-sarc
Najib also gst fuck fuck,non-sarc
but still stupid common sitting bonus here and there patches bonus drop the GST is the state of the economy is still going to be foolish bonus here and there generally adopted a wide divide the money mak kau father GST zero-rated all people think the government kah kah private sector stupid,sarc
her head brain,non-sarc
why not use this brain all,non-sarc
have to be turned haha,sarc
plunder of public funds for each belly-filling,sarc
"This all economists paid by Najib, there were no gst any economy can grow no problems even days of distress was the leader and are still able to regulate the economy so why now only expect gst as no gst economy to the enlightened us endowed with rich earth but unfortunately the results were led by a leader who is corrupt",non-sarc
gst testicles najib haha,sarc
gst not minister to talk nice to people and stuff will intrigue anyone who looks down,sarc
Common features to raise the GST is an understandable hint,sarc
haha it is a significant deficit for leakages extreme level where did the money available before on how much to spend on any development that's been made hmmm it feels the development of this country to show results of the tun m instead now ye sorry if I'm wrong words,sarc
supposedly good budget for the citizens jib head brain you're not a great fool,sarc
indeed it is you create a deficit of air billion debt,sarc
but oh greeting nutmeg,sarc
gst illegal,non-sarc
we did not have to complain to him the opening here if you want to read any complain can become a member of the polytechnic have to parliament,sarc
haha people pay GST where people can brim brim money would come from to pay gst gst Ahmad Maslan said the pay eh right kah,sarc
the cause of his wasteful spending out of the economy,non-sarc
"ministers game, we the people have to pay",sarc
gst burden not want to help people,non-sarc
great deceiver,non-sarc
you that our advanced people who suffer,sarc
head brain,non-sarc
thank,non-sarc
middle finger,sarc
This all useless thanks bang jib,sarc
it is to fool the people are fed up,non-sarc
no need to make a statement that it is not najib people like you too,sarc
and developed countries has nothing to do ye oh so apparently I am getting decades of study,sarc
Malaysia continues to hunt for the pocket money of the people for the sake of developed countries,sarc
am aware to this kind of talk is only lentok,sarc
the father of her crew chief let the dock where I saw the body there is a new sense of sick person is not eligible to be a leader of his own wife even file,non-sarc
I feel very good this pimp rip awl good,non-sarc
You nutmeg developed testicles,non-sarc
shit head brain that you forward all expensive goods,non-sarc
the fact that you say what people naturally,sarc
These days he works to deceive people,sarc
face is not ashamed to talk over all give more people pm the worst punishment enough,sarc
ale testicles green mom,non-sarc
The best is najib including ampu feet once you have a lot of people suffer because you and allies and germs with you,sarc
the father of congratulations keep it up do not give up you can do it all the best,non-sarc
developed what his body did not see any development since you've been so pm sad,non-sarc
dung is great indeed wretched,non-sarc
urine stench,non-sarc
easier said than done,non-sarc
more chat,non-sarc
disgust to see the face of this bowl,non-sarc
Umno continue to Malaysians puii,non-sarc
Hobo you,non-sarc
puii fool only,non-sarc
developed in chapter fool people,non-sarc
b pm poor people do not forget what the story Najib Najib b shit is najib,non-sarc
developed by vape,sarc
Najib is very advanced already exhausted all the money bangladesh ringgit was stronger than advanced notice went wrong,sarc
advanced close to where it was developed in a foreign nation is the people themselves have to die like you do,non-sarc
The economic uncertainty may not my view that developed countries,non-sarc
the parents first told you father were money children spend money to develop the country's father of her child she is ready to destroy the country to sell more can negotiate longer to be,non-sarc
Malaysia's economy crashed due to what Najib,non-sarc
advanced head sister you,sarc
up to the valley gorge hole wells destruction,sarc
forward backward,sarc
I'm tired watching this bowl do not eat defamation and dignity've got pumps in the closet,non-sarc
Najib fool again number called only on the lips in reality no,non-sarc
we rely only on you haha,sarc
head testicles najib do not want to cheat,non-sarc
Mr Najib is you sponsor me for all my people in this difficult time haha do not say bah salary RM everything depend want to be paid is not enough,sarc
yes I know,sarc
Malaysia advanced but people dead,non-sarc
he advanced nod,sarc
bak said life must continue despite the uncertain economic najib,sarc
piss away,sarc
"how bad though our leaders, let all pray that he repented and turned back as a result of the good prayer to pray so that also a bad word to say back to her",non-sarc
he advanced head testicles,sarc
developed countries but the poor,non-sarc
Najib ass mother wretched,non-sarc
talk like the sea Sakai ideals not be anything useless,sarc
fuck you,non-sarc
developed his own pocket,sarc
"advanced head disgusted I hear you, Mr. Najib's chat",non-sarc
only minister who is best developed,sarc
head testicles forward,non-sarc
statement emperor buffoonery,sarc
when pigs say,sarc
shit people are not magicians who believes,non-sarc
Where the advance money out of you suck,sarc
Ehh paragraph he is not playing Grammatical and poetic yet,sarc
fool only is this jib pack,non-sarc
paragraph misbegotten flatter stages,non-sarc
I wait najib dead,non-sarc
Najib advanced people destitute,non-sarc
yes go ahead because the money people robbery,sarc
head brain mu mu only the right people difficult delighted,sarc
Your brain jib,non-sarc
winch,non-sarc
minister of advanced forward backward,sarc
Najib so pm only time the Malaysian economy has always developed advanced forward beat sugar sweet mouth when that happened was the opposite,sarc
developed by poor boss can najib,sarc
haha oh we are not as bad as it does not know about economy,sarc
haha,sarc
nonsense,non-sarc
najib wretched,non-sarc
head testicles,non-sarc
crazy divorce,non-sarc
cheater his head,non-sarc
The new adage to erect penis eggs ??? there ???developed world economies plunged into logical,non-sarc
stupid statement he himself only think of the people burdened with dato that this government has no value dead child is,non-sarc
Fuyo,sarc
head testicles you haha,non-sarc
cargo gang ambush her brain to get rid of the effect that the cargo cover near the factory workers how traders n ass,non-sarc
